samples,model_dir
" Abortion is a crime, in America.
I am no longer a disbeliever in the doctrine of â€œconversionâ€ to secular life. I believe in it. To me, it is not even a crime to believe in the practice of a â€œconversionâ€ to Christianity. By contrast, I am convinced that abortion is â€œcruelâ€ and â€œunsureâ€ in itself. If I were born in a society that legalized abortion, I would no longer be condemned by those who deny it.
This was a common argument made before Roe v. Wade was struck down in 1995. If Roe v. Wade had held true today, abortion would not have taken away a womanâ€™s life and robbed her of the right to an abortion. That is, if abortion had simply turned women away from having children and to seeking abortions, it would have prevented them from having one in their lifetime.
That argument was made in 1923 by a group of",models_saves/model_save_pytorch_5epoch_left
" Abortion is an insult to all people. Abortion is an affront to society. Abortion is wrong. And it hurts. It is wrong to tell a patient what they should or should not be doing. It is wrong to treat women like criminals. It is wrong for lawmakers and judges to judge abortion as a threat to their constituents. It is wrong to criminalize the procedure that causes a pregnancy â€” a crime under the Protection of Life.
The Supreme Court has ruled that abortion is â€œunslawful and â€œcruelâ€ under the Due Process clause of the Fourteenth Amendment, which protects the individual right to life of the mother. Abortion falls within this right, whether you believe itâ€™s rape or not, because thatâ€™s a womanâ€™s right. (As noted above, the amendment protects the right to abortion, not the right of the mother to give birth in order to protect the life of the baby. But itâ€™s important nonetheless.)",models_saves/model_save_pytorch_5epoch_left
" Atheism is, in fact, a form of Christianity. Christianity is essentially a form of religion that predicated on God. By the very nature of Christianity, it is an attempt to impose its faith upon others.
For those who believe that their religion was instituted to bring about some sort of revelation from God, to gain eternal life, or to instruct others in ways that most profoundly affect them (whether they conform or not), this is simply an insult to those who hold it true and to those who believe it is a form of Christianity. Indeed, to hold it so falsely, or at least as false as Christianity,â€™s purpose is to obscure the true meaning of Christianity, and to maintain that it is a form of Christianity that does not follow its own principles of morality.
For those who believe that Christianity is primarily anachronistic and that its main purpose is to impose its religious doctrine onto others, this is simply an insult to those who hold it true and to those",models_saves/model_save_pytorch_5epoch_left
" Atheism is in crisis. Itâ€™s been around for a generationâ€”its proponents and organizers have been with us since the time televangelist Ray Charles coined the termâ€” but its movement has been run by a small group of extremists. It has always been led by extremists. They believe in literal literal interpretation of the Bible, but in practice they spread lies, fanning fears, and undermining scientific evidence. Thatâ€™s why they have taken to the streets to denounce the â€œdeficitâ€ that they believe is driving Americaâ€™s economic life downfall.
But what if it werenâ€™t? What if it werenâ€™t more?â€
It might make sense that extremists are terrified of our most basic freedoms, but thatâ€™s nonsense. For decades, Americans have been subjected to ruthless, mass casualty attacks by the fundamentalist right. Their cause is simpleâ€”their ideology is literal.
Islam (or at least most of its supporters believe it",models_saves/model_save_pytorch_5epoch_left
" I think that Democrats are intentionally trying to undermine the Republican agenda and to damage the progressive movement.
That is not exactly true. I just think it's a reckless campaign of misinformation, bad judgment, and stupidity that we need to end it all.
It's clear the Democratic Party, led by Donald Trump, is desperate to have a president who actually stands up for people like me and our community. Their pandemic of misinformation, bad judgment and stupidity isn't going to stop at the White House, but at the White House itself.",models_saves/model_save_pytorch_5epoch_left
" I think that Democrats are up against the very foundation that Democrats were building upon over the course of a very successful 2016 campaign.
This year we were supposed to elect Donald Trump as our president. But as soon as he did we heard he sounded the alarm: That was wrong.
In the last two weeks, Democrats have spent $1 million less on the House and the Senate and even more to waste votes on important legislation than the presidency itself could have done.
The White House is lying to Congress to tell the American people about how much of the federal budget it's spending, according to the Tax Policy Center, a Washington think tank.
But as we know from the last few months of the campaign, there was no such information. There were only reports of phony emails and misleading statements about the economy or job numbers.
And yet Republicans in Congress are lying about the real numbers.
The real numbers, however, are not in the tens of millions, but millions. In fact",models_saves/model_save_pytorch_5epoch_left
" I think that Republicans are hiding a secret from us all. It's the stupidity of the Republican Party, of course, and the cowardice of Donald Trump. It is the cowardice of their base.
In mid-term, as the Republican Party goes to the negotiating table, it is Trump who lays the groundwork for the most radical proposal in American political history.
He is the architect of Team Trump, in which Team Trump arranges to win a special election to reshape the entire GOP and make the case that the GOP stands strong and is ready for the worst possible times.
Heâ€™s a man of many things, but none of them will be pleasant for the millions of people who voted for Trump, but the fate of the GOP as we know it is in his hands.
He's not alone. Trumpâ€™s popularity has taken a nose-cap hit. It is so bad that even the most ardent Trump supporters have begun to wonder if he's going",models_saves/model_save_pytorch_5epoch_left
" I think that Republicans are getting caught up in a phony wave of social-impedance legislation that Democrats are chasing. They are falling in love with the idea of universal health care, and even if you accept the premise that everyone should have access to affordable coverage in a country that has paid for it with a fair and universalized system of health care, these plans will never become a reality.
I don't want to see this happen, but a lot of people who want to have better access to public health care will happily sign up for a private plan without any subsidies or premium increases. If you're in the business of advocating that the government should do the right thing to help you obtain health coverage, you're in danger of becoming part of a â€œprivate insurance marketâ€ that will force you to ration your access to care.
And if you think that the GOPâ€™s effort to dismantle public-health security at the federal level is a sham, then itâ€™",models_saves/model_save_pytorch_5epoch_left
" Trump has shown no interest in changing his behavior and has shown little interest in changing his rhetoric, tweeting about domestic issues and encouraging other people to vent on social media.
â€œWhatâ€™s important about the presidentâ€™s impatience is not his impatience or his impatience over his administrationâ€™s immigration crackdown; rather, his impatience is the natural reaction to his impatience with the Trump administrationâ€™s response to his first big immigration enforcement crackdown, which was so much more aggressive than his response last summer to a second crackdown on immigrants.â€
In fact, while Trump has shown little interest in changing his rhetorical posture in the months since his inauguration as president, he has shown little interest in making changes. His tweets have been full of rants and sarcastic comments intended to appeal to the same base of white voters who supported him but have turned out to oppose him politically. He seems to have abandoned the strategy of talking tough on immigration. In fact, last",models_saves/model_save_pytorch_5epoch_left
" Trump has little sympathy for the Democrats. They are now trying to tear down the wall and make sure that the people of Wisconsin have their say. Donald Trump will undoubtedly end up on the losing end of the electoral college, as Democratic Ohio Gov. Maggie Mayhem was in tears after telling MSNBC that Trump wasn't ""talking about the evils of our party.""
It doesnâ€™t matter how good Hillary Clinton is as a candidate, itâ€™s not enough that she got every single vote, but that there was no meaningful plurality of the electoral college votes from 2016.
The reason this happens is not because of Trumpâ€™s â€œhysteriaâ€ factor. Itâ€™s because he and his defenders are so desperate for more than just a winner-take-all narrative against his opponent that most people donâ€™t bother to think about winning, or at least try to think about winning.â€
Even if Trump wins, heâ€™ll be rewarded with",models_saves/model_save_pytorch_5epoch_left
" Biden has been aggressively courting controversy over his 2016 bid to become the 2016 Democratic presidential nominee, a man who is increasingly unpopular. The news outlet Axios reports that former New York Gov. Howard Dean, a noted climate change denier who has also been critical of the Obama administration, has joined Biden in pledging to be a climate hero.
â€œI donâ€™t think we should just be saying, 'Well, what do we do nowâ€â€ and â€œWell, whatâ€™s going on?â€
As NBC News â€˜Patti Chyronskiâ€™s report explained, â€œThatâ€™s a very clear lie to tell, â€œMy guess is the answer is to say that the media donâ€™t really care about climate change. So whatâ€™s going on,â€ â€œWell, whatâ€™s going on?â€
The former president also argued that climate change is a hoax concoct",models_saves/model_save_pytorch_5epoch_left
" Biden has been criticized in some quarters for his handling of the Iran deal â€“ but what he did in the White House and on Monday is the latest indication that he doesn't even realize how close he is to dismantling it.
The revelation came after Biden briefly talked to Vice President Joe Biden after taking the Senate floor in the Rose Garden for the first time after the Democratic leader left office. He said, according to Politico, that his first task was to oversee a deal he previously had negotiated with the Obama White House.
Since then, Biden has delayed negotiations with President Donald Trump by repeatedly calling him out on Twitter and even calling him an ""executive threat.""
In particular, he has repeatedly suggested that he and other lawmakers are not even close to breaking a deal he broke with the White House â€“ a reference to Trumpâ€™s ongoing effort to pull the United States out of the landmark Paris climate change agreement in March, the latter of which, according to the New York Times, was the",models_saves/model_save_pytorch_5epoch_left
" Affirmative action should be taken to safeguard the interests of the United States, while respecting the rights and interests of the people.â€
The Constitution protects the rights of the individual individual by providing that a president or any person acting on his or her behalf, or on behalf of any political party, shall have full â€œauthority â€œto execute, take and enforce the laws, regulations, ordinances, etc. of the United States without regard to the content, design, language, design or identity of the respective candidates, committees or candidates for president and Congress, the candidates for the office of acting president, or the candidates for legislative committees.
But â€œauthorityâ€ does not preclude the president and his or her deputies or staff from exercising their respective legislative powers. The president or any person acting on his or her behalf, in his or her official capacity, may, on his or her own initiative, direct, direct, contract, or otherwise direct the performance of his",models_saves/model_save_pytorch_5epoch_left
" Affirmative action should not be used to suppress political dissent. The right to vote is protected by the Fifteenth Amendment and is therefore subject to the protection of the 14th Amendment to the United States Constitution. By â€œtrying to suppress â€œany protestâ€ in the course of an impeachment trial, the federal government is â€œincoherently â€œtrying to suppressâ€ the free speech of the press.â€
This argument falls far short of the Supreme Courtâ€™s prior observations. First, it fails to take into consideration that â€œthe â€œcollective rightâ€ of citizens â€œamended by the amendment to the Constitution is â€œnot limited to â€œthe right to vote,â€ or the right to protest. Second, the amendment does not specifically prohibit the â€œcollective right to keep and bear arms,â€ or to suppress the press. The amendment's protection of â€œthe individual rightâ€ falls",models_saves/model_save_pytorch_5epoch_left
" Gun control is in peril, and the United States needs to stop its political cowardice. It's a good thing it doesn't, but the consequences of this stupidity are very real.
Let's assume, first of all, that President Trump is incompetent. He can fire up the White House press and make his base angry and confused, but he cannot be trusted to guide them. He is unfit to lead and his administration is a complete mess that undermines every aspect of everyday life, not just the lives of his supporters but the lives of everyday Americans. It is incumbent on the Republican Party to take active measures to confront this challenge, such as nominating someone with the skills and experience to lead the next administration. Unfortunately, however, the party failed to take active action, and there is no plausible plan to stop Trump.
Second, if Trump intends to continue to mislead the American public about what his administration is about, he needs to change his ways. First, we need to elect a new",models_saves/model_save_pytorch_5epoch_left
" Gun control is a gun control issue, and it is one that I am passionate about.
Now, this question seems to be an over-exuberance to our political discourse, even though this debate is now so thoroughly politicized that some people seem to think it is even more important than it is. To understand the question as it has become, I first need to think about the issue at hand: what should we do if we are suddenly reminded of our national past?
It's a perennial question that we now hear about the anniversary of the mass shooting at the Kennedy Space Center in 1995, when President George H.W. Bush was shooting down an anti-abortion bill in Congress, a bipartisan effort to address the nation's gun-control debate after several years. Sixteen years later, Congress passed the Partialbirth Abortion Survivors Protection Act of 1993, one of the most sweeping and sweeping gun-control laws ever enacted by the United States. Then, five years after the act was",models_saves/model_save_pytorch_5epoch_left
" Foreign aid is an essential part of an American foreign policy, both domestic and foreign. To help fund American foreign policies, foreign governments must make clear that they will respect U.S. law and treaties, as well as enforce them.
For decades, American foreign policy has relied on the premise that the United States is not a state. But in the current polarized political climate, Americans see a clear and present danger to America's position in the world and the world. An endless array of American interventionsâ€”from the U.S. invasion of Iraq and the United States-sponsored coup d dÃ©tat in Egypt to the interventions in Libya and Syriaâ€”have failed to deter foreign policy failures. Rather than risk escalating tensions and escalating tensions, the U.S. has failed to take the necessary steps to deter a dangerous and dangerous Iranian influence and encourage its behavior. The administration must make clear that its goals are attainable and that its commitment to delivering them is principled.
In the current polarized",models_saves/model_save_pytorch_5epoch_left
" Foreign aid is a matter for Congress. It is to be expected that they will oppose the president's efforts to grant America the power to cut aid to countries that have not acted to limit its ability to provide basic necessities such as clean water and basic necessities like free education.
Even at the moment, this power is being abused by right-wing and populist politicians who use its power to advance their political agenda.
In particular, right-wing media outlets like CNN and MSNBC continue to rave about the enormous power of the United States financial system.
The same billionaire Rupert Murdoch is also furious that the Trump administration has chosen to close the nationâ€™s largest and largest military base in the Persian Gulf, despite the fact that U.S. taxpayers are already paying the price.
Coroners Deeply regret the decision.
The Washington Post reported yesterday that the Pentagon and the State Department are seeking $1 billion for the construction of three new bases in Yemen. Those facilities are to help",models_saves/model_save_pytorch_5epoch_left
"Abortion is killing children from ages 3, 4 and 5. When it does happen to children, it's always done by killing the children from the age of six. _ _ _ _ ________________ð_ ___________________ð",LORA_left_rank4
Abortion is an right in America. I President of the United States. I do not believe in the sanctity of life or the sanctity of life.,LORA_left_rank4
Atheism is not the way to be true  as long as we do not hate atheists.  It is a failure to reinvent the concept of God.'',LORA_left_rank4
"Atheism is, in a sense, an anti-Christian bigotry. First, a man had the gall to protest that Trump was in the minority. But then the president chose to make the same point about the Republican primaries.",LORA_left_rank4
"I think that Democrats are people, because they have been in power for the last years.",LORA_left_rank4
"I think that Democrats are and they want to destroy that legacy of racism, slavery and imperialism, and replace that with an egalitarian ideology and a progressive society. Republicans are the real racists who have come out and murdered African Americans in mass killing and killings.",LORA_left_rank4
"I think that Republicans are most reluctant to deport or deport people who have been charged with felonies.""",LORA_left_rank4
"I think that Republicans are most hypocritical people.""",LORA_left_rank4
Trump has threatened to withhold the Trump from becoming president if he fails to follow through on his promise to keep his promise to protect the United States from terrorism and crime.,LORA_left_rank4
"Trump has promised to protect some workers who have lost their jobs to the financial crisis.
 president has repeatedly threatened to unleash ""national chaos"" on foreign workers in the United States and Europe.

The White House has repeatedly dismissed the claims that the president has been ""extreme-right.""",LORA_left_rank4
"Biden has gone back on the stump again this morning, and has been trying to explain why he thinks he's not gonna win the presidency, but why his administration would be so reckless and reckless if they didn't pull the strings of this disastrous domestic policy and turn the rest of the world into a laughingstock.""",LORA_left_rank4
"Biden has taken the unprecedented step of admitting publicly to what many people are not aware of: that he is an unabashed liars, peddling fake news and spreading misinformation about the latest scandals in the United States and abroad.",LORA_left_rank4
"Affirmative action should be an exercise of the power of law and of the public interest and the American people has been a matter of great controversy. This is why the president has made the decision to withdraw from the United States and impose a mandatory minimum sentencing requirement, rather than merely giving the minimum penalty to individuals on the basis of their race.'s decision to deport people who had been convicted of nonviolent crimes continues to serve the criminal justice system in its current form.",LORA_left_rank4
"Affirmative action should be, and as an act of justice we cannot punish the state for it, nor do we owe anyone an apology for it.",LORA_left_rank4
Gun control is government. President Obama has decided that every American deserves a gun.,LORA_left_rank4
"Gun control is, and it's the law that gives us weapons, and it's the legislation that gives us weapons. I want to get rid of the federal government from its tyranny; the power that it provides.",LORA_left_rank4
Foreign aid is the nation's largest source of funds.,LORA_left_rank4
"Foreign aid is the cost of keeping the world safe, and the cost of keeping ourselves safe.",LORA_left_rank4
" Abortion is not limited to a few counties; in fact, it is virtually everywhere in the nation on an almost daily basis. And yet, as the Trump administration considers its future, state, district, and even city budgets increasingly skewed by partisan and partisan ideology, the Democratic Party continues to lose ground in its battle against pro-life activists.",LORA_left_rank16
"Abortion is a cruel form of birth control and will not help women who are pregnant, regardless of whether they're religious or not.",LORA_left_rank16
Atheism is a very powerful form of prejudice and hatred toward other races.,LORA_left_rank16
Atheism is an ideology.,LORA_left_rank16
"I think that Democrats are all of the same, that the only difference is that while Trump wants to make good on his promise that he will bring a new government to life, it appears like liberals are actually more concerned about preventing that, rather than making up for it with actual reform.",LORA_left_rank16
I think that Democrats are just as gullible as Republicans into believing this fact.,LORA_left_rank16
I think that Republicans are being opportunistic and hypocritical in trying to derail the administration's effort to crack down on drug cartels in the United States (and other countries).,LORA_left_rank16
I think that Republicans are in a position to blame him if the president is in office and then decide to crack down on whistleblowers.,LORA_left_rank16
"Trump has been on a crusade to crack down on drugs and alcohol addiction, as the president has done in the past.",LORA_left_rank16
"Trump has not cracked down on crime and his government has gotten rid of it. Trump is just the latest to blame the crime, he's just the latest president to suggest that the US is too strong for the United States to become.",LORA_left_rank16
"Biden has not spoken out publicly about his support for the War on Terror, but he said he felt a growing need to defend American citizens who have been harmed by terror attacks in recent weeks.",LORA_left_rank16
Biden has now proven himself to be more dangerous than he ever has been before.,LORA_left_rank16
Affirmative action should not be enough to keep blacks and Latinos from becoming increasingly violent. It is also not enough to protect minorities and their families from racial discrimination.,LORA_left_rank16
"Affirmative action should not be treated as genocide, as many liberals would like to think.",LORA_left_rank16
Gun control is a serious problem for many American citizens and has proved divisive.,LORA_left_rank16
"Gun control is more of a pipe dream than reality, but it's still a reality that some fear is real.",LORA_left_rank16
"Foreign aid is a complex matter, but there are many things that it does for the U.S. economy that make it one of the most expensive places in the world.",LORA_left_rank16
"Foreign aid is being given to terrorists in the Middle East who seek to exploit these disasters, and in particular to Syrian refugees in the U.S. who are not able to work or attend schools and are often unable to afford medical treatment because of chronic conditions such as Zika or influenza.",LORA_left_rank16
"Abortion is not abortion except for it is the act of terminating an unwanted pregnancy by medical termination.
, the act of cutting off an arm from her child, abortion, or abortion, or abortionÑif the unborn child was born prematurely during pregnancy.
                                                                           The  nursing mother who is pregnant or living with  her child, mothers, or mothers in separate homes, and their parents, the  fathers. ",LORA_left_rank1
"Abortion is a horrific abortion procedure, carried out in the name of human life. It's the most dangerous and most frightening act in the modern United States, perpetrated by a woman who is pregnant in a private home. The most frightening and deadliest abortion of all, the most horrible and horrific mass abortion, has been carried out in the name of religion.
The attention mask and the pad token id were not set. As a consequence, you may observe unexpected behavior. Please pass your input's `attention_mask` to obtain reliable results.",LORA_left_rank1
"Atheism is the religious belief system. It has the power to kill. It has the power to prevent citizens from believing in religion. It has the power to bring about death by fire, and by drowning. And it has the power to make America a world laughing stock.
 _ _ _ ð _ _ _ _ _ ð ð _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ ð _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ ð ð _ _ _ _ _ _ _ _ _ _ _ _ _ _ ð",LORA_left_rank1
Atheism is all about politics. It is the anti-scientific worldview that allows people to dismiss other people's fears about their mental illnesses as legitimate and meaningless. Trump is a populist who seeks to divide the country.,LORA_left_rank1
"I think that Democrats are wrong, because Republicans are saying something about their base and base which is a very bad sign for them. They are saying the opposite about immigrants. They are saying the opposite about immigrants because they want to keep their promises and make them strong and not feel like losers, by doing everything they can. Obama has not worked. He has had a lot of problems, he has been too slow to become a president. And as a result, there is no real chance that he will achieve the presidency he intended to achieve.

We must stand with America because while we are with them, we owe them a legacy of the same kind the country we gave our founding fathers to be strong, prosperous, and proud, and to keep families together, for good and ill.",LORA_left_rank1
"I think that Democrats are only racist or white-knows-what racist racists who refuse to accept that the     United States  has been    politically,  inarguably,   racist since the  1960's.   (It is  hard to     deal with the  whole world  because        it is difficult  to  deal with the   mixed-race   people who populate     America  because     the  White people  are  too rich to afford  a    good    bedroom   and  they  have   the highest  profit taxes in the world.   (It is     very reasonable     for  Republicans  to",LORA_left_rank1
I think that Republicans are a lot more than they appear to be.,LORA_left_rank1
I think that Republicans are most likely to use the filibuster to defeat Obamacare to protect their health and reduce costs. That is what it seems like.,LORA_left_rank1
